CMDLINE /opt/conda/bin/python dim_redu.py
MEM 876.984375 1725503977.2566
MEM 901.218750 1725503977.3568
MEM 925.195312 1725503977.4569
MEM 949.429688 1725503977.5571
MEM 973.406250 1725503977.6572
MEM 995.820312 1725503977.7573
MEM 1019.796875 1725503977.8575
MEM 1044.285156 1725503977.9576
MEM 1116.027344 1725503978.0578
MEM 1293.363281 1725503978.1579
MEM 1155.000000 1725503978.2582
MEM 1363.828125 1725503978.3584
MEM 1083.644531 1725503978.4586
MEM 1137.488281 1725503978.5587
MEM 1194.605469 1725503978.6588
MEM 1251.722656 1725503978.7590
MEM 1308.843750 1725503978.8592
MEM 1366.175781 1725503978.9593
MEM 1423.722656 1725503979.0595
MEM 1481.046875 1725503979.1596
MEM 1537.964844 1725503979.2598
MEM 1595.527344 1725503979.3600
MEM 1653.503906 1725503979.4601
MEM 1712.328125 1725503979.5603
MEM 1771.367188 1725503979.6604
MEM 1830.625000 1725503979.7606
MEM 1889.664062 1725503979.8608
MEM 1947.636719 1725503979.9609
MEM 2006.460938 1725503980.0611
MEM 2065.714844 1725503980.1613
MEM 2124.964844 1725503980.2614
MEM 2184.007812 1725503980.3616
MEM 2243.054688 1725503980.4619
MEM 2302.085938 1725503980.5621
MEM 2357.292969 1725503980.6622
MEM 2416.121094 1725503980.7624
MEM 2474.949219 1725503980.8626
MEM 2475.355469 1725503980.9627
MEM 2475.355469 1725503981.0629
MEM 2175.890625 1725503981.1630
MEM 2175.890625 1725503981.2632
MEM 2182.160156 1725503981.3633
MEM 2183.820312 1725503981.4635
MEM 2183.820312 1725503981.5636
MEM 2183.820312 1725503981.6637
MEM 2183.820312 1725503981.7639
MEM 2186.011719 1725503981.8640
MEM 2187.273438 1725503981.9642
MEM 2189.589844 1725503982.0643
MEM 2192.574219 1725503982.1644
MEM 2194.890625 1725503982.2646
MEM 2197.980469 1725503982.3647
MEM 2199.785156 1725503982.4649
MEM 2201.324219 1725503982.5650
MEM 2203.125000 1725503982.6653
MEM 2204.929688 1725503982.7655
MEM 2206.734375 1725503982.8657
MEM 2208.281250 1725503982.9659
MEM 2210.152344 1725503983.0660
MEM 2211.855469 1725503983.1661
MEM 2213.640625 1725503983.2663
MEM 2215.417969 1725503983.3664
MEM 2217.207031 1725503983.4666
MEM 2218.851562 1725503983.5667
MEM 2220.328125 1725503983.6669
MEM 2222.066406 1725503983.7670
MEM 2223.765625 1725503983.8671
MEM 2225.558594 1725503983.9673
MEM 2227.062500 1725503984.0674
MEM 2228.722656 1725503984.1676
MEM 2230.492188 1725503984.2677
MEM 2232.210938 1725503984.3679
MEM 2233.960938 1725503984.4680
MEM 2235.496094 1725503984.5681
MEM 2237.292969 1725503984.6683
MEM 2239.074219 1725503984.7684
MEM 2240.847656 1725503984.8687
MEM 2242.640625 1725503984.9689
MEM 2246.734375 1725503985.0691
MEM 2248.011719 1725503985.1693
MEM 2249.281250 1725503985.2695
MEM 2250.824219 1725503985.3697
MEM 2252.367188 1725503985.4698
MEM 2253.648438 1725503985.5700
MEM 2255.453125 1725503985.6701
MEM 2256.996094 1725503985.7703
MEM 2258.539062 1725503985.8705
MEM 2260.335938 1725503985.9706
MEM 2261.882812 1725503986.0707
MEM 2263.425781 1725503986.1709
MEM 2264.972656 1725503986.2710
MEM 2266.515625 1725503986.3712
MEM 2268.062500 1725503986.4713
MEM 2269.605469 1725503986.5715
MEM 2271.410156 1725503986.6716
MEM 2272.695312 1725503986.7717
MEM 2274.238281 1725503986.8719
MEM 2275.773438 1725503986.9720
MEM 2277.296875 1725503987.0723
MEM 2278.820312 1725503987.1725
MEM 2280.468750 1725503987.2727
MEM 2282.199219 1725503987.3729
MEM 2283.589844 1725503987.4730
MEM 2285.156250 1725503987.5732
MEM 2286.527344 1725503987.6733
MEM 2288.039062 1725503987.7735
MEM 2289.453125 1725503987.8736
MEM 2290.816406 1725503987.9737
MEM 2292.019531 1725503988.0739
MEM 2293.476562 1725503988.1740
MEM 2294.945312 1725503988.2742
MEM 2296.152344 1725503988.3743
MEM 2297.636719 1725503988.4745
MEM 2298.886719 1725503988.5746
MEM 2300.367188 1725503988.6748
MEM 2301.628906 1725503988.7749
MEM 2302.898438 1725503988.8751
MEM 2304.316406 1725503988.9752
MEM 2305.417969 1725503989.0753
MEM 2306.941406 1725503989.1755
MEM 2308.136719 1725503989.2756
MEM 2309.550781 1725503989.3759
MEM 2310.976562 1725503989.4761
MEM 2312.457031 1725503989.5763
MEM 2313.660156 1725503989.6764
MEM 2315.109375 1725503989.7766
MEM 2316.242188 1725503989.8767
MEM 2317.226562 1725503989.9769
MEM 2318.492188 1725503990.0770
MEM 2319.746094 1725503990.1771
MEM 2321.019531 1725503990.2773
MEM 2322.281250 1725503990.3775
MEM 2323.519531 1725503990.4776
MEM 2324.789062 1725503990.5778
MEM 2325.800781 1725503990.6779
MEM 2327.058594 1725503990.7781
MEM 2328.078125 1725503990.8783
MEM 2329.468750 1725503990.9784
MEM 2330.546875 1725503991.0786
MEM 2331.699219 1725503991.1787
MEM 2332.902344 1725503991.2790
MEM 2333.859375 1725503991.3792
MEM 2335.125000 1725503991.4794
MEM 2336.125000 1725503991.5796
MEM 2337.359375 1725503991.6798
MEM 2338.582031 1725503991.7799
MEM 2339.566406 1725503991.8801
MEM 2340.582031 1725503991.9802
MEM 2341.601562 1725503992.0803
MEM 2342.769531 1725503992.1805
MEM 2343.812500 1725503992.2806
MEM 2344.765625 1725503992.3808
MEM 2345.816406 1725503992.4809
MEM 2346.906250 1725503992.5811
MEM 2348.031250 1725503992.6812
MEM 2349.191406 1725503992.7813
MEM 2350.117188 1725503992.8815
MEM 2351.152344 1725503992.9816
MEM 2352.113281 1725503993.0818
MEM 2353.175781 1725503993.1819
MEM 2354.250000 1725503993.2821
MEM 2355.269531 1725503993.3822
MEM 2356.222656 1725503993.4823
MEM 2357.171875 1725503993.5825
MEM 2358.281250 1725503993.6828
MEM 2359.148438 1725503993.7830
MEM 2360.070312 1725503993.8832
MEM 2361.085938 1725503993.9834
MEM 2362.128906 1725503994.0835
MEM 2363.164062 1725503994.1836
MEM 2364.078125 1725503994.2838
MEM 2364.992188 1725503994.3840
MEM 2365.875000 1725503994.4842
MEM 2366.812500 1725503994.5843
MEM 2367.710938 1725503994.6845
MEM 2368.636719 1725503994.7846
MEM 2369.789062 1725503994.8848
MEM 2370.769531 1725503994.9849
MEM 2371.488281 1725503995.0851
MEM 2372.218750 1725503995.1852
MEM 2373.183594 1725503995.2853
MEM 2374.128906 1725503995.3855
MEM 2374.839844 1725503995.4857
MEM 2376.035156 1725503995.5859
MEM 2376.773438 1725503995.6860
